Total unique price values: 1011

5533	586.00
4262	668.00
3588	703.00
2704	836.00
2458	820.00
2428	233.00
1703	469.00
1683	1,172.00
1599	500.00
1591	501.00
1473	139.00
1381	1,005.00
1362	468.00
1208	166.00
1181	267.00
1084	1,003.00
1083	234.00
1056	888.00
902	569.00
895	334.00
882	938.00
858	164.00
834	585.00
821	702.00
741	879.00
734	300.00
730	434.00
728	32.00
671	645.00
642	99.00
637	82.00
634	351.00
627	305.00
608	323.00
606	132.00
601	93.00
559	837.00
541	367.00
529	200.00
516	65.00
511	615.00
491	117.00
418	187.00
416	307.00
413	502.00
412	190.00
393	683.00
381	773.00
366	602.00
362	134.00
360	754.00
359	721.00
358	113.00
342	181.00
338	Free
335	568.00
333	1,338.00
326	279.00
324	352.00
314	133.00
313	670.00
311	1,055.00
306	1,131.00
305	535.00
302	401.00
296	268.00
293	656.00
292	1,008.00
288	1,256.00
288	844.00
280	759.00
268	669.00
268	152.00
258	422.00
258	691.00
254	74.00
252	937.00
251	333.00
246	76.00
245	410.00
240	100.00
228	36.00
228	1,340.00
227	1,063.00
226	558.00
224	1,328.00
218	251.00
214	375.00
211	516.00
211	382.00
208	266.00
201	755.00
197	891.00
196	398.00
193	258.00
191	75.00
190	752.00
189	697.00
183	1,093.00
181	211.00
174	140.00
172	601.00
166	539.00
166	376.00
163	225.00
163	1,407.00
160	239.00
160	797.00
155	1,382.00
154	379.00
152	445.00
152	70.00
151	33.00
149	301.00
148	609.00
145	835.00
142	680.00
140	566.00
135	38.00
135	1,138.00
135	873.00
134	63.00
134	492.00
133	23.00
130	345.00
130	866.00
121	452.00
119	949.00
118	115.00
118	421.00
113	632.00
113	335.00
112	608.00
110	762.00
109	574.00
107	420.00
105	1,054.00
105	46.00
105	1,171.00
103	694.00
103	976.00
102	192.00
102	402.00
101	562.00
101	493.00
101	575.00
101	793.00
98	633.00
98	736.00
96	1,507.00
92	149.00
92	635.00
92	537.00
91	904.00
88	284.00
88	350.00
88	47.00
87	657.00
86	228.00
86	456.00
85	957.00
84	531.00
84	417.00
83	263.00
83	227.00
82	328.00
82	490.00
82	843.00
80	944.00
80	1,505.00
79	689.00
79	153.00
79	344.00
79	1,170.00
79	221.00
78	664.00
77	603.00
76	67.00
75	281.00
75	1,289.00
75	286.00
74	766.00
73	418.00
73	151.00
72	750.00
72	883.00
71	303.00
70	112.00
70	729.00
69	141.00
69	984.00
69	679.00
69	163.00
68	653.00
67	614.00
67	770.00
63	767.00
63	636.00
61	13.00
61	497.00
60	748.00
60	733.00
60	446.00
58	781.00
56	1,025.00
56	230.00
56	304.00
55	804.00
55	1,675.00
54	384.00
54	690.00
53	930.00
53	118.00
53	1,519.00
52	651.00
50	1,206.00
50	1,406.00
50	987.00
50	628.00
49	105.00
49	121.00
49	116.00
48	607.00
48	60.00
46	1,156.00
